brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Toyota,Toyota Hilux 2021 for sale in Islamabad,used,2021,Toyota,Diesel,https://cache4.pakwheels.com/ad_pictures/5986/toyota-hilux-revo-v-automatic-2-8-2021-59863062.jpg,Automatic,2800,5000,7500000,https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-islamabad-5705506,5705506
Suzuki,Suzuki Swift 2010 for sale in Rawalpindi,used,2010,Suzuki,Petrol,https://cache3.pakwheels.com/ad_pictures/5444/suzuki-swift-1-3l-dlx-2010-54447751.jpg,Manual,1300,159000,1250000,https://www.pakwheels.com/used-cars/suzuki-swift-2010-for-sale-in-rawalpindi-5296615,5296615
Toyota,Toyota Corolla 2013 for sale in Faisalabad,used,2013,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/toyota-corolla-gli-vvti-2013-59861223.jpg,Manual,1300,173000,2150000,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-faisalabad-5661589,5661589
Toyota,Toyota Prado 2005 for sale in Peshawar,used,2005,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5956/toyota-prado-tz-3-4-2005-59560936.jpg,Automatic,3400,98000,9500000,https://www.pakwheels.com/used-cars/toyota-prado-2005-for-sale-in-peshawar-5683454,5683454
Toyota,Toyota Corolla 2018 for sale in Multan,used,2018,Toyota,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/toyota-corolla-altis-1-8-grande-automatic-2018-59862476.jpg,Automatic,1800,50900,3825000,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-multan-5705482,5705482
KIA,KIA Sportage 2020 for sale in Karachi,used,2020,KIA,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/kia-sportage-2020-59862561.jpg,Automatic,2000,32000,5400000,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-karachi-5705484,5705484
Toyota,Toyota Yaris 2020 for sale in Gujranwala,used,2020,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5980/toyota-yaris-ativ-x-cvt-1-5-2020-59809858.jpg,Automatic,1500,14000,3050000,https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-gujranwala-5701710,5701710
Honda,Honda Civic 2009 for sale in Islamabad,used,2009,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5882/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2009-58829576.jpg,Automatic,1800,88000,2195000,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-5628369,5628369
Toyota,Toyota Corolla 2021 for sale in Islamabad,used,2021,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/toyota-corolla-altis-x-automatic-1-6-2021-59861952.jpg,Automatic,1600,250,3880000,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-5705431,5705431
KIA,KIA Picanto 2020 for sale in Karachi,used,2020,KIA,Petrol,https://cache3.pakwheels.com/ad_pictures/5985/kia-picanto-1-0-at-2020-59855884.jpg,Automatic,1000,10000,2240000,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-karachi-5704977,5704977
Toyota,Toyota Yaris 2021 for sale in Karachi,used,2021,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/toyota-yaris-ativ-x-mt-1-5-2021-59861800.jpg,Automatic,1500,3500,3200000,https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-5705425,5705425
Toyota,Toyota Fortuner 2021 for sale in Gujranwala,used,2021,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/toyota-fortuner-2-7-automatic-2021-59863461.jpg,Automatic,2700,11500,9900000,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-gujranwala-5705536,5705536
Toyota,Toyota Hilux 2021 for sale in Peshawar,used,2021,Toyota,Diesel,https://cache3.pakwheels.com/ad_pictures/5986/toyota-hilux-revo-v-automatic-2-8-2021-59863389.jpg,Automatic,2800,26000,7700000,https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-peshawar-5705535,5705535
Toyota,Toyota Prius 2010 for sale in Lahore,used,2010,Toyota,Hybrid,https://cache4.pakwheels.com/ad_pictures/5575/toyota-prius-g-touring-selection-leather-package-1-8-2010-55750117.jpg,Automatic,1800,64500,3150000,https://www.pakwheels.com/used-cars/toyota-prius-2010-for-sale-in-lahore-5394357,5394357
Nissan,Nissan Bluebird Sylphy 2007 for sale in Rawalpindi,used,2007,Nissan,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/nissan-bluebird-sylphy-15s-16-2007-59863266.jpg,Automatic,1500,110036,1650000,https://www.pakwheels.com/used-cars/nissan-bluebird-sylphy-2007-for-sale-in-rawalpindi-5705533,5705533
Honda,Honda City 2014 for sale in Lahore,used,2014,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/honda-city-i-vtec-2-2014-59863425.jpg,Manual,1300,172000,1875000,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-lahore-5705530,5705530
Toyota,Toyota Vitz 2013 for sale in Karachi,used,2013,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5985/toyota-vitz-1-0-f-2013-59858298.jpg,Automatic,1000,105000,1865000,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-karachi-5705161,5705161
Suzuki,Suzuki Mehran 2016 for sale in Lahore,used,2016,Suzuki,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/suzuki-mehran-vxr-euro-ii-2016-59863317.jpg,Manual,800,37000,870000,https://www.pakwheels.com/used-cars/suzuki-mehran-2016-for-sale-in-lahore-5705527,5705527
Toyota,Toyota Belta 2008 for sale in Daska,used,2008,Toyota,Petrol,https://cache1.pakwheels.com/ad_pictures/5547/toyota-belta-x-1-0-2008-55475012.jpg,Automatic,1000,119000,1575000,https://www.pakwheels.com/used-cars/toyota-belta-2008-for-sale-in-daska-5373806,5373806
Honda,Honda Civic 2005 for sale in Lahore,used,2005,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/honda-civic-vti-1-6-2005-59863260.jpg,Manual,1600,200000,1120000,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-lahore-5705526,5705526
Toyota,Toyota Premio 2009 for sale in Islamabad,used,2009,Toyota,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/toyota-premio-g-superior-2-0-2009-59863172.jpg,Automatic,2000,95300,4000000,https://www.pakwheels.com/used-cars/toyota-premio-2009-for-sale-in-islamabad-5705525,5705525
Honda,Honda City 2005 for sale in Lahore,used,2005,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/honda-city-i-dsi-vario-2005-59863278.jpg,Automatic,1300,12100,1285000,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-lahore-5705523,5705523
Toyota,Toyota Corolla 2009 for sale in Islamabad,used,2009,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/toyota-corolla-xli-vvti-2009-59863193.jpg,Manual,1300,250000,1480000,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-islamabad-5705522,5705522
